"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Press de Banca (Barra)",,"",0,"warmup",20,15,,,
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Press de Banca (Barra)",,"",1,"normal",35,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Press de Banca (Barra)",,"",2,"normal",37.5,10,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Press de Banca (Barra)",,"",3,"normal",40,8,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Cables Cruzados",,"Bastante bien si lo hago con la mano abierta, sin cogerlo cerrando la mano, suponogo que por el antebrazo",0,"normal",4.5,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Cables Cruzados",,"Bastante bien si lo hago con la mano abierta, sin cogerlo cerrando la mano, suponogo que por el antebrazo",1,"normal",6.8,10,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Cables Cruzados",,"Bastante bien si lo hago con la mano abierta, sin cogerlo cerrando la mano, suponogo que por el antebrazo",2,"normal",6.8,6,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Elevación Lateral a un Brazo (Cable)",0,"",0,"normal",4.5,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Elevación Lateral a un Brazo (Cable)",0,"",1,"normal",4.5,12,,,9
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Elevación Lateral a un Brazo (Cable)",0,"",2,"normal",4.5,8,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Triceps Rope Pushdown",0,"",0,"normal",11.3,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Triceps Rope Pushdown",0,"",1,"normal",13.5,10,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Triceps Rope Pushdown",0,"",2,"normal",11.3,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Remo Sentado con Agarre en V (Cable)",,"No entiendo porque no lo noto tan bein",0,"normal",25,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Remo Sentado con Agarre en V (Cable)",,"No entiendo porque no lo noto tan bein",1,"normal",32,12,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Remo Sentado con Agarre en V (Cable)",,"No entiendo porque no lo noto tan bein",2,"normal",27.3,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",13.5,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",15.8,12,,,9.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",13.5,8,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Preacher Curl (Machine)",,"Ns no me acaba, ns si porq me parece q tiene menos rango, pero con buen peso se nota",0,"normal",15.1,12,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Preacher Curl (Machine)",,"Ns no me acaba, ns si porq me parece q tiene menos rango, pero con buen peso se nota",1,"normal",15.1,10,,,8.5
"Torso A","12 nov 2025, 06:41","12 nov 2025, 07:33","Bastante bien, bastante consistencia y bastante esfuerzo,","Preacher Curl (Machine)",,"Ns no me acaba, ns si porq me parece q tiene menos rango, pero con buen peso se nota",2,"normal",13.5,12,,,8.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Press de Piernas",,"",0,"warmup",20,15,,,7.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Press de Piernas",,"",1,"normal",35,12,,,8.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Press de Piernas",,"",2,"normal",40,10,,,8.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Peso Muerto Rumano (Mancuerna)",,"",0,"normal",12,12,,,8
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Peso Muerto Rumano (Mancuerna)",,"",1,"normal",14,12,,,8.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Peso Muerto Rumano (Mancuerna)",,"",2,"normal",12,12,,,9
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Aducción de Caderas",,"",0,"warmup",25,12,,,8.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Aducción de Caderas",,"",1,"normal",29.6,10,,,9.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Aducción de Caderas",,"",2,"normal",27.3,10,,,9.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Extensión de Pierna",,"",0,"normal",25,12,,,8.5
"Pierna A","11 nov 2025, 06:43","11 nov 2025, 07:35","Buen entrenamiento","Extensión de Pierna",,"",1,"normal",32,10,,,9.5
